Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/03/2023;VERDURAS Y HORTALIZAS;Calabacín;Medellín, Central Mayorista de Antioquia;1.556
1/03/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Cali, Santa Elena;1.556
1/03/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Neiva, Surabastos;1.556
1/04/2023;VERDURAS Y HORTALIZAS;Apio;Cali, Santa Elena;1.556
1/05/2023;VERDURAS Y HORTALIZAS;Cilantro;Medellín, Central Mayorista de Antioquia;1.556
1/05/2023;FRUTAS;Banano Urabá;"Medellín, Plaza Minorista ""José María Villa""";1.556
1/09/2023;TUBERCULOS, RAICES Y PLATANOS;Papa parda pastusa;Chiquinquirá (Boyacá);1.556
1/09/2023;TUBERCULOS, RAICES Y PLATANOS;Papa superior;Chiquinquirá (Boyacá);1.556
1/10/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Bogotá, D.C., Corabastos;1.556
1/10/2023;TUBERCULOS, RAICES Y PLATANOS;Plátano comino;Medellín, Central Mayorista de Antioquia;1.556
1/10/2023;TUBERCULOS, RAICES Y PLATANOS;Plátano hartón verde;San Gil (Santander);1.556
1/11/2023;FRUTAS;Limón Tahití;Manizales, Centro Galerías;1.556
1/11/2023;FRUTAS;Patilla;Cartagena, Bazurto;1.556
