Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/04/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Tunja, Complejo de Servicios del Sur;1.508
1/04/2023;FRUTAS;Mango común;Neiva, Surabastos;1.508
1/05/2023;VERDURAS Y HORTALIZAS;Zanahoria larga vida;La Ceja (Antioquia);1.508
1/06/2023;FRUTAS;Piña gold;Santa Marta (Magdalena);1.508
1/08/2023;FRUTAS;Naranja común;Cúcuta, Cenabastos;1.508
1/11/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Bucaramanga, Centroabastos;1.508
1/11/2023;FRUTAS;Banano criollo;Popayán, Plaza de mercado del barrio Bolívar;1.508
1/11/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Valledupar, Mercado Nuevo;1.508
1/02/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Pasto, El Potrerillo;1.507
1/04/2023;FRUTAS;Mandarina Arrayana;Tuluá (Valle del Cauca);1.507
1/08/2023;TUBERCULOS, RAICES Y PLATANOS;Papa parda pastusa;Manizales, Centro Galerías;1.507
1/11/2023;FRUTAS;Papaya Maradol;Pereira, Mercasa;1.507
1/11/2023;TUBERCULOS, RAICES Y PLATANOS;Arracacha blanca;San Vicente Ferrer (Antioquia);1.507
1/12/2023;VERDURAS Y HORTALIZAS;Cilantro;Marinilla (Antioquia);1.507
1/12/2023;VERDURAS Y HORTALIZAS;Zanahoria;Chiquinquirá (Boyacá);1.507
1/01/2023;FRUTAS;Mandarina Oneco;Santa Bárbara (Antioquia);1.506
1/03/2023;VERDURAS Y HORTALIZAS;Tomate Riogrande;San Gil (Santander);1.506
1/04/2023;FRUTAS;Banano criollo;Cali, Santa Elena;1.506
1/07/2023;VERDURAS Y HORTALIZAS;Calabaza;Medellín, Central Mayorista de Antioquia;1.506
1/11/2023;VERDURAS Y HORTALIZAS;Remolacha;Barranquilla, Barranquillita;1.506
1/12/2023;FRUTAS;Limón Tahití;San Gil (Santander);1.506
1/03/2023;TUBERCULOS, RAICES Y PLATANOS;Papa ICA-Huila;Pasto, El Potrerillo;1.505
1/04/2023;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander);1.505
1/05/2023;VERDURAS Y HORTALIZAS;Remolacha regional;Marinilla (Antioquia);1.505
1/09/2023;TUBERCULOS, RAICES Y PLATANOS;Yuca criolla;Barranquilla, Granabastos;1.505
1/12/2023;FRUTAS;Limón común;Cali, Cavasa;1.505
1/02/2023;VERDURAS Y HORTALIZAS;Pepino de rellenar;Tunja, Complejo de Servicios del Sur;1.504
1/04/2023;FRUTAS;Banano criollo;Pereira, Mercasa;1.504
1/05/2023;PROCESADOS;Vinagre;Cartagena, Bazurto;1.504
1/07/2023;VERDURAS Y HORTALIZAS;Ahuyama;Montería, Mercado del Sur;1.504
1/07/2023;VERDURAS Y HORTALIZAS;Cebolla junca Berlín;Cúcuta, Cenabastos;1.504
1/07/2023;FRUTAS;Banano criollo;Pereira, La 41;1.504
1/08/2023;FRUTAS;Limón mandarino;Pereira, Mercasa;1.504
1/09/2023;VERDURAS Y HORTALIZAS;Remolacha;Sincelejo, Nuevo Mercado;1.504
1/10/2023;FRUTAS;Banano criollo;Pereira, Mercasa;1.504
1/11/2023;VERDURAS Y HORTALIZAS;Zanahoria bogotana;Pereira, La 41;1.504
1/11/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Valledupar, Mercabastos;1.504
1/12/2023;FRUTAS;Mango común;"Medellín, Plaza Minorista ""José María Villa""";1.504
1/02/2023;VERDURAS Y HORTALIZAS;Chócolo mazorca;Marinilla (Antioquia);1.503
1/03/2023;VERDURAS Y HORTALIZAS;Coles;Medellín, Central Mayorista de Antioquia;1.503
1/04/2023;VERDURAS Y HORTALIZAS;Tomate chonto;Santa Marta (Magdalena);1.503
1/09/2023;FRUTAS;Mandarina común;Socorro (Santander);1.503
1/10/2023;VERDURAS Y HORTALIZAS;Brócoli;Túquerres (Nariño);1.503
1/11/2023;VERDURAS Y HORTALIZAS;Ahuyama;Pamplona (Norte de Santander);1.503
1/12/2023;FRUTAS;Mandarina común;Tunja, Complejo de Servicios del Sur;1.503
1/02/2023;VERDURAS Y HORTALIZAS;Brócoli;Túquerres (Nariño);1.502
1/05/2023;FRUTAS;Naranja Sweet;Florencia (Caquetá);1.502
1/08/2023;VERDURAS Y HORTALIZAS;Pimentón;Tibasosa (Boyacá), Coomproriente;1.502
1/09/2023;VERDURAS Y HORTALIZAS;Zanahoria bogotana;Tuluá (Valle del Cauca);1.502
1/05/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Valledupar, Mercado Nuevo;1.501
1/08/2023;FRUTAS;Limón Tahití;Cúcuta, Cenabastos;1.501
1/09/2023;FRUTAS;Papaya Paulina;"Medellín, Plaza Minorista ""José María Villa""";1.501
1/12/2023;FRUTAS;Naranja común;Arauca (Arauca);1.501
1/12/2023;TUBERCULOS, RAICES Y PLATANOS;Papa superior;Tunja, Complejo de Servicios del Sur;1.501
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;San Gil (Santander);1.500
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Socorro (Santander);1.500
